bidNtceNo,bidNtceOrd,bidNtceNm,bsnsDivNm,cntrctCnclsSttusNm,cntrctCnclsMthdNm,bidwinrDcsnMthdNm,ntceInsttNm,ntceInsttCd,dmndInsttNm,dmndInsttCd,sucsfLwstlmtRt,presmptPrce,rsrvtnPrce,bssAmt,opengDate,opengTm,opengRsltDivNm,opengRank,bidprcCorpBizrno,bidprcCorpNm,bidprcCorpCeoNm,bidprcAmt,bidprcRt,bidprcDate,bidprcTm,sucsfYn,dqlfctnRsn,fnlSucsfAmt,fnlSucsfRt,fnlSucsfDate,fnlSucsfCorpNm,fnlSucsfCorpCeoNm,fnlSucsfCorpOfclNm,fnlSucsfCorpBizrno,fnlSucsfCorpAdrs,fnlSucsfCorpContactTel,dataBssDate
R25BK01080546,000,2026년 부산항 건축시설물 유지보수공사 설계용역,용역,총액계약,수의계약,설계공모,부산항만공사,B551220,부산항만공사,B551220,,101550000,,,2025-10-29,17:00,개찰완료,,7970900640,건축사사무소 담아,이상혁,0,0,2025-11-14,17:17,N,,0,,2025-11-14,인터건축사사무소 주식회사,이홍식,,430-86-01825,"부산광역시 중구 해관로 60(중앙동 4가), 3층",051-791-2091,2025-12-04
R25BK01097110,000,경상북도 포항시 남구 장기면 두원리 산 14번지 일원 국비지원 지표조사,용역,총액계약,제한경쟁,,사단법인 한국문화유산협회,Z026364,사단법인 한국문화유산협회,Z026364,87.745,34760000,38086925,38236000,2025-10-29,17:00,개찰완료,1,8138200135,재단법인 다온문화유산연구원,김지훈,33430000,87.772,2025-10-29,09:51,Y,정상,33430000,87.772,2025-11-11,재단법인 다온문화유산연구원,김지훈,,813-82-00135,경상북도 경주시 초당길27번길 11-1 (동천동) 2층,053-811-3696,2025-12-04
R25BK01097110,000,경상북도 포항시 남구 장기면 두원리 산 14번지 일원 국비지원 지표조사,용역,총액계약,제한경쟁,,사단법인 한국문화유산협회,Z026364,사단법인 한국문화유산협회,Z026364,87.745,34760000,38086925,38236000,2025-10-29,17:00,개찰완료,2,1108230068,재단법인 가온문화유산연구원,정상석,33441980,87.804,2025-10-24,16:12,N,정상,33430000,87.772,2025-11-11,재단법인 다온문화유산연구원,김지훈,,813-82-00135,경상북도 경주시 초당길27번길 11-1 (동천동) 2층,053-811-3696,2025-12-04
R25BK01097110,000,경상북도 포항시 남구 장기면 두원리 산 14번지 일원 국비지원 지표조사,용역,총액계약,제한경쟁,,사단법인 한국문화유산협회,Z026364,사단법인 한국문화유산협회,Z026364,87.745,34760000,38086925,38236000,2025-10-29,17:00,개찰완료,3,5028218905,재단법인 동국문화재연구원,박성현,33449030,87.822,2025-10-28,15:22,N,정상,33430000,87.772,2025-11-11,재단법인 다온문화유산연구원,김지훈,,813-82-00135,경상북도 경주시 초당길27번길 11-1 (동천동) 2층,053-811-3696,2025-12-04
R25BK01097110,000,경상북도 포항시 남구 장기면 두원리 산 14번지 일원 국비지원 지표조사,용역,총액계약,제한경쟁,,사단법인 한국문화유산협회,Z026364,사단법인 한국문화유산협회,Z026364,87.745,34760000,38086925,38236000,2025-10-29,17:00,개찰완료,4,5058207668,재단법인성림문화유산연구원,이지영,33491000,87.933,2025-10-28,12:17,N,정상,33430000,87.772,2025-11-11,재단법인 다온문화유산연구원,김지훈,,813-82-00135,경상북도 경주시 초당길27번길 11-1 (동천동) 2층,053-811-3696,2025-12-04
R25BK01097110,000,경상북도 포항시 남구 장기면 두원리 산 14번지 일원 국비지원 지표조사,용역,총액계약,제한경쟁,,사단법인 한국문화유산협회,Z026364,사단법인 한국문화유산협회,Z026364,87.745,34760000,38086925,38236000,2025-10-29,17:00,개찰완료,5,2608200194,재단법인 대경문화유산연구원,김광명,33626700,88.289,2025-10-29,00:46,N,정상,33430000,87.772,2025-11-11,재단법인 다온문화유산연구원,김지훈,,813-82-00135,경상북도 경주시 초당길27번길 11-1 (동천동) 2층,053-811-3696,2025-12-04
R25BK01097110,000,경상북도 포항시 남구 장기면 두원리 산 14번지 일원 국비지원 지표조사,용역,총액계약,제한경쟁,,사단법인 한국문화유산협회,Z026364,사단법인 한국문화유산협회,Z026364,87.745,34760000,38086925,38236000,2025-10-29,17:00,개찰완료,6,8118200255,재단법인 춘추문화유산연구원,양인철,33650900,88.352,2025-10-29,08:47,N,정상,33430000,87.772,2025-11-11,재단법인 다온문화유산연구원,김지훈,,813-82-00135,경상북도 경주시 초당길27번길 11-1 (동천동) 2층,053-811-3696,2025-12-04
R25BK01097110,000,경상북도 포항시 남구 장기면 두원리 산 14번지 일원 국비지원 지표조사,용역,총액계약,제한경쟁,,사단법인 한국문화유산협회,Z026364,사단법인 한국문화유산협회,Z026364,87.745,34760000,38086925,38236000,2025-10-29,17:00,개찰완료,7,6548200012,(재)서라벌문화유산연구원,서병국,33666000,88.392,2025-10-23,14:18,N,정상,33430000,87.772,2025-11-11,재단법인 다온문화유산연구원,김지훈,,813-82-00135,경상북도 경주시 초당길27번길 11-1 (동천동) 2층,053-811-3696,2025-12-04
R25BK01097110,000,경상북도 포항시 남구 장기면 두원리 산 14번지 일원 국비지원 지표조사,용역,총액계약,제한경쟁,,사단법인 한국문화유산협회,Z026364,사단법인 한국문화유산협회,Z026364,87.745,34760000,38086925,38236000,2025-10-29,17:00,개찰완료,8,5158210651,재단법인 홍익문화유산연구원,김연주,33735200,88.574,2025-10-28,09:39,N,정상,33430000,87.772,2025-11-11,재단법인 다온문화유산연구원,김지훈,,813-82-00135,경상북도 경주시 초당길27번길 11-1 (동천동) 2층,053-811-3696,2025-12-04
R25BK01097110,000,경상북도 포항시 남구 장기면 두원리 산 14번지 일원 국비지원 지표조사,용역,총액계약,제한경쟁,,사단법인 한국문화유산협회,Z026364,사단법인 한국문화유산협회,Z026364,87.745,34760000,38086925,38236000,2025-10-29,17:00,개찰완료,9,5058209481,재단법인 계림문화유산연구원,송미연,33785000,88.704,2025-10-28,17:15,N,정상,33430000,87.772,2025-11-11,재단법인 다온문화유산연구원,김지훈,,813-82-00135,경상북도 경주시 초당길27번길 11-1 (동천동) 2층,053-811-3696,2025-12-04
R25BK01097110,000,경상북도 포항시 남구 장기면 두원리 산 14번지 일원 국비지원 지표조사,용역,총액계약,제한경쟁,,사단법인 한국문화유산협회,Z026364,사단법인 한국문화유산협회,Z026364,87.745,34760000,38086925,38236000,2025-10-29,17:00,개찰완료,10,5058211653,재단법인 금오문화유산연구원,한도식,33798000,88.739,2025-10-27,14:11,N,정상,33430000,87.772,2025-11-11,재단법인 다온문화유산연구원,김지훈,,813-82-00135,경상북도 경주시 초당길27번길 11-1 (동천동) 2층,053-811-3696,2025-12-04
R25BK01097110,000,경상북도 포항시 남구 장기면 두원리 산 14번지 일원 국비지원 지표조사,용역,총액계약,제한경쟁,,사단법인 한국문화유산협회,Z026364,사단법인 한국문화유산협회,Z026364,87.745,34760000,38086925,38236000,2025-10-29,17:00,개찰완료,,6778200257,재단법인 통일문화유산연구원,김성임,33369000,87.612,2025-10-24,09:14,N,낙찰하한선 미달,33430000,87.772,2025-11-11,재단법인 다온문화유산연구원,김지훈,,813-82-00135,경상북도 경주시 초당길27번길 11-1 (동천동) 2층,053-811-3696,2025-12-04
R25BK01097110,000,경상북도 포항시 남구 장기면 두원리 산 14번지 일원 국비지원 지표조사,용역,총액계약,제한경쟁,,사단법인 한국문화유산협회,Z026364,사단법인 한국문화유산협회,Z026364,87.745,34760000,38086925,38236000,2025-10-29,17:00,개찰완료,,5138205813,(재)영남문화유산연구원,권주성,33373360,87.624,2025-10-22,15:41,N,낙찰하한선 미달,33430000,87.772,2025-11-11,재단법인 다온문화유산연구원,김지훈,,813-82-00135,경상북도 경주시 초당길27번길 11-1 (동천동) 2층,053-811-3696,2025-12-04
R25BK01098604,000,2025년 서울형 키즈카페 마포구 서교동1호점 놀이공간 설계 및 놀이기구 제작 용역,용역,총액계약,제한경쟁,협상에 의한 계약,서울특별시 마포구,3130000,서울특별시 마포구,3130000,,363636364,363636364,,2025-10-29,17:00,개찰완료,,1108150484,주식회사 필드원,엄기석,340000000,0,2025-11-14,09:41,N,,,,,,,,--, ,,2025-12-04
R25BK01098604,000,2025년 서울형 키즈카페 마포구 서교동1호점 놀이공간 설계 및 놀이기구 제작 용역,용역,총액계약,제한경쟁,협상에 의한 계약,서울특별시 마포구,3130000,서울특별시 마포구,3130000,,363636364,363636364,,2025-10-29,17:00,개찰완료,,2140919907,제이넷컴,윤창엽,384000000,0,2025-11-14,09:41,N,,,,,,,,--, ,,2025-12-04
R25BK01098604,000,2025년 서울형 키즈카페 마포구 서교동1호점 놀이공간 설계 및 놀이기구 제작 용역,용역,총액계약,제한경쟁,협상에 의한 계약,서울특별시 마포구,3130000,서울특별시 마포구,3130000,,363636364,363636364,,2025-10-29,17:00,개찰완료,,2148828513,(주)아이땅,김경원,391600000,0,2025-11-14,09:41,N,,,,,,,,--, ,,2025-12-04
